5,2.3,0.493,8,0.497,17.3,1.01,16.4,30.9,29.8,30,113,2.24
10,6.8,0.667,10.8,0.728,23.5,1.09,16.49,33.9,28.5,31,113,
15,6.8,0.717,11.6,0.786,24.8,1.1,16.61,30.4,28.4,31.2,123,
20,7,0.814,13.2,0.923,27.4,1.13,16.82,26.1,27.5,31.1,131,
25,7,0.809,13.1,0.937,28,1.16,16.95,23.3,27.8,32.2,142,
30,7,0.876,14.2,0.911,27.1,1.05,16.51,24.1,27.6,29,148,
35,7.2,1.036,16.8,0.953,29,0.92,16.16,24.7,28.3,26,151,
40,7.2,1.171,19,1.036,31.4,0.89,16.06,22.9,28.5,25.3,153,
45,7.2,1.253,20.3,1.084,32.3,0.87,15.87,22.5,28.1,24.3,156,
50,7.3,1.378,22.3,1.113,33.2,0.81,15.47,25.8,27.9,22.6,157,
55,7.3,1.455,23.6,1.143,34.4,0.79,15.25,27.5,28.1,22.1,158,
60,7.3,1.488,24.1,1.158,35,0.78,15.13,28.1,28.3,22,156,
65,7.3,1.561,25.3,1.2,34.4,0.77,15.05,27.5,26.8,20.6,152,
70,7.5,1.613,26.1,1.259,36.3,0.78,15.16,27.5,27,21.1,150,
75,7.5,1.601,25.9,1.246,36.5,0.78,15.19,27.4,27.5,21.4,151,
80,7.5,1.554,25.2,1.207,35.2,0.78,15.2,28.4,27.3,21.2,149,
85,7.6,1.572,25.5,1.223,35.8,0.78,15.15,29.2,27.3,21.3,151,
90,7.6,1.591,25.8,1.229,35.5,0.77,15.05,28.2,27,20.9,151,
95,7.6,1.727,28,1.349,38.4,0.78,15.03,27.3,26.8,20.9,153,
100,7.8,1.81,29.3,1.438,40.9,0.79,15.17,29.1,26.8,21.3,155,
105,7.8,1.794,29.1,1.428,40.8,0.8,15.18,32.5,26.7,21.3,155,
110,7.8,1.758,28.5,1.395,40.1,0.79,15.16,30.2,27,21.4,156,
115,8,1.705,27.6,1.366,38.9,0.8,15.16,28.2,26.8,21.4,156,
120,8,1.71,27.7,1.405,39.8,0.82,15.26,27.2,26.7,21.9,155,
125,8,1.719,27.9,1.422,40.7,0.83,15.35,29.1,26.9,22.3,155,
130,8,1.745,28.3,1.435,41.8,0.82,15.37,31,27.3,22.5,158,
135,8.1,1.808,29.3,1.482,43.6,0.82,15.43,31.7,27.7,22.7,159,
140,8.1,1.812,29.4,1.483,41.7,0.82,15.24,30.8,26.4,21.6,159,
145,8.1,1.736,28.1,1.424,39.9,0.82,15.2,30,26.3,21.6,158,
150,8.3,1.671,27.1,1.382,39.3,0.83,15.26,29.7,26.7,22,158,
155,8.3,1.779,28.8,1.472,41.4,0.83,15.26,30.8,26.4,21.9,157,
160,8.3,1.777,28.8,1.462,41.7,0.82,15.35,32.3,26.7,22,156,
165,8.4,1.743,28.3,1.44,42.4,0.83,15.4,34.7,27.5,22.7,156,
170,8.4,1.68,27.2,1.382,40.7,0.82,15.29,37.9,27.2,22.4,156,
175,8.4,1.6,25.9,1.262,36.4,0.79,15.15,35.5,26.6,21,152,2.05
180,8.6,1.825,29.6,1.446,40.7,0.79,14.98,34.2,26.2,20.8,150,
185,8.6,1.743,28.3,1.41,40.6,0.81,15.03,30.1,27,21.8,150,
190,8.6,1.909,30.9,1.567,45,0.82,15.16,29.5,27.2,22.3,156,
195,8.6,1.912,31,1.585,45.8,0.83,15.37,31.4,27.3,22.6,159,
200,8.8,1.915,31,1.592,45.5,0.83,15.35,32.4,26.9,22.4,162,
205,8.8,1.93,31.3,1.607,45.4,0.83,15.33,32.6,26.6,22.1,162,
210,8.8,1.882,30.5,1.583,45.4,0.84,15.29,33.4,27,22.7,163,
215,8.9,1.932,31.3,1.621,44.3,0.84,15.32,30.7,25.8,21.6,163,
220,8.9,1.928,31.3,1.628,46.6,0.84,15.46,32.7,27,22.8,162,
225,8.9,1.978,32.1,1.686,47.3,0.85,15.43,32.3,26.5,22.6,161,
230,9.1,1.985,32.2,1.716,49.3,0.86,15.58,33.2,27.2,23.5,161,
235,9.1,1.888,30.6,1.637,47.4,0.87,15.61,33,27.3,23.7,160,
240,9.1,1.868,30.3,1.593,45.2,0.85,15.46,32.4,26.7,22.8,161,
245,9.2,1.951,31.6,1.659,47,0.85,15.37,32.8,26.7,22.7,165,
250,9.2,2.034,33,1.753,49.7,0.86,15.57,32.7,26.8,23.1,165,
255,9.2,1.959,31.7,1.714,49.1,0.87,15.71,32.8,27.1,23.7,165,
260,9.2,1.963,31.8,1.713,49.2,0.87,15.66,32.8,27.1,23.7,165,
265,9.4,1.92,31.1,1.68,48,0.88,15.61,32.7,27,23.6,164,
270,9.4,1.918,31.1,1.668,47.2,0.87,15.55,32.9,26.7,23.2,165,
275,9.4,1.957,31.7,1.694,48.8,0.87,15.57,32.9,27.2,23.5,165,
